id,host_id,latitude,longitude,neighbourhood_cleansed,property_type,room_type,price,accommodates,bedrooms,amenities,bathrooms,beds,review_scores_rating,accommodates_per_bedroom,accommodates_per_bed,price_per_accommodate,number_of_reviews,availability_30,availability_60,availability_90,availability_365
1052725228900518539,552247318,52.3162749,4.9870736,Bijlmer-Oost,Private room in townhouse,Private room,84,2,1.0,"[""Shower gel"", ""Body soap"", ""Central heating"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Cleaning products"", ""Lock on bedroom door"", ""Host greets you"", ""Paid street parking off premises"", ""Hair dryer"", ""EV charger"", ""Conditioner"", ""Wifi"", ""Mosquito net"", ""Clothing storage: wardrobe"", ""Hangers"", ""Long term stays allowed"", ""Shampoo"", ""Bed linens""]",1.0,1.0,4.68,2.0,2.0,42.0,34,14,42,72,162
676401032480159263,174384510,52.36136,4.86123,De Baarsjes - Oud-West,Entire condo,Entire home/apt,230,2,1.0,"[""Dishes and silverware"", ""Paid parking on premises"", ""Shower gel"", ""Coffee"", ""Free washer \u2013 In unit"", ""Body soap"", ""Dedicated workspace"", ""Coffee maker"", ""Patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Drying rack for clothing"", ""TV with Netflix"", ""Cleaning products"", ""Blender"", ""Ethernet connection"", ""Microwave"", ""Refrigerator"", ""Wine glasses"", ""Extra pillows and blankets"", ""Host greets you"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Dryer"", ""Dishwasher"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Books and reading material"", ""Heating"", ""Freezer"", ""Laundromat nearby"", ""Room-darkening shades"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens"", ""Gas stove""]",1.0,1.0,4.9,2.0,2.0,115.0,10,0,0,0,185
600545421995078797,451194922,52.39612229999999,4.904023899999999,Oud-Noord,Entire rental unit,Entire home/apt,227,4,1.0,"[""Dishes and silverware"", ""Paid parking on premises"", ""Shower gel"", ""Washer"", ""Dedicated workspace"", ""Coffee maker"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Microwave"", ""Refrigerator"", ""Oven"", ""Hair dryer"", ""Elevator"", ""Keypad"", ""Self check-in"", ""Conditioner"", ""Wifi"", ""Dishwasher"", ""Hot water kettle"", ""Air conditioning"", ""Heating"", ""TV"", ""Long term stays allowed"", ""Noise decibel monitors on property"", ""Shampoo"", ""Kitchen"", ""Bed linens""]",1.0,2.0,4.48,4.0,2.0,56.75,27,8,13,35,144
975811311630497343,37493640,52.3707387,4.861246,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,259,2,1.0,"[""Dishes and silverware"", ""Shower gel"", ""Garden view"", ""Coffee"", ""Body soap"", ""Central heating"", ""Washer"", ""Indoor fireplace: wood-burning"", ""Dedicated workspace"", ""Private patio or balcony"", ""Cooking basics"", ""Carbon monoxide alarm"", ""First aid kit"", ""Hot water"", ""Stainless steel oven"", ""Smoke alarm"", ""Iron"", ""Drying rack for clothing"", ""Cleaning products"", ""Blender"", ""Clothing storage: closet"", ""Refrigerator"", ""Coffee maker: espresso machine"", ""Wine glasses"", ""Bathtub"", ""Extra pillows and blankets"", ""Bluetooth sound system"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Wifi"", ""Cleaning available during stay"", ""Dishwasher"", ""Hot water kettle"", ""Air conditioning"", ""Hangers"", ""Dining table"", ""Essentials"", ""Books and reading material"", ""TV"", ""Courtyard view"", ""Long term stays allowed"", ""Freezer"", ""Room-darkening shades"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""Kitchen"", ""Bed linens""]",1.5,1.0,5.0,2.0,2.0,129.5,1,0,16,19,286
888039933939304905,311321908,52.36922418094216,4.879154234735213,Centrum-West,Room in hotel,Private room,175,2,1.0,"[""Paid parking on premises"", ""Body soap"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Building staff"", ""Extra pillows and blankets"", ""Safe"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Elevator"", ""EV charger"", ""Self check-in"", ""Wifi"", ""Cleaning available during stay"", ""Air conditioning"", ""Hangers"", ""Essentials"", ""Heating"", ""TV"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Bed linens""]",1.0,2.0,4.2,2.0,1.0,87.5,5,12,20,35,307
42823583,224472650,52.36203221373166,4.850328516306491,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,165,2,1.0,"[""Dishes and silverware"", ""Coffee"", ""Washer"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Stove"", ""Blender"", ""Refrigerator"", ""Wine glasses"", ""Host greets you"", ""Oven"", ""Wifi"", ""Dishwasher"", ""Hot water kettle"", ""TV"", ""Freezer"", ""Fire extinguisher"", ""Kitchen"", ""Baking sheet""]",1.0,0.0,5.0,2.0,inf,82.5,1,0,7,7,7
1156428253483810137,103181523,52.3743573228392,4.877786709626896,Centrum-West,Entire home,Entire home/apt,200,2,1.0,"[""Paid parking on premises"", ""Smoke alarm"", ""Washer"", ""TV"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen""]",1.0,0.0,4.822,2.0,inf,100.0,0,2,16,16,39
9017567,6681286,52.396805,4.915318,Oud-Noord,Entire townhouse,Entire home/apt,177,2,2.0,"[""Dishes and silverware"", ""Record player"", ""Body soap"", ""Central heating"", ""Washer"", ""Dedicated workspace"", ""Babysitter recommendations"", ""Private patio or balcony"", ""Coffee maker"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Baby safety gates"", ""First aid kit"", ""Changing table"", ""Baby bath"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Drying rack for clothing"", ""Sound system with Bluetooth and aux"", ""Standalone high chair - always at the listing"", ""Ethernet connection"", ""Refrigerator"", ""Crib"", ""Bathtub"", ""Extra pillows and blankets"", ""Children\u2019s books and toys for ages 0-2 years old"", ""Hair dryer"", ""Wifi"", ""Dryer"", ""Mosquito net"", ""Hangers"", ""Essentials"", ""Books and reading material"", ""TV"", ""Children\u2019s dinnerware"", ""Board games"", ""Room-darkening shades"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens""]",1.0,1.0,5.0,1.0,2.0,88.5,16,3,3,3,3
14245813,25505384,52.38460515749177,4.887602329254155,Centrum-West,Entire home,Entire home/apt,495,4,2.0,"[""Waterfront"", ""Smoke alarm"", ""Hangers"", ""Essentials"", ""Lockbox"", ""Carbon monoxide alarm"", ""Heating"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Kitchen"", ""Paid parking off premises"", ""Hair dryer"", ""Self check-in"", ""Canal view"", ""Wifi"", ""Fire extinguisher"", ""TV with standard cable"", ""Hot water""]",2.0,2.0,4.964,2.0,2.0,123.75,0,0,1,1,249
714387815647501094,3494317,52.36033,4.85661,De Baarsjes - Oud-West,Entire condo,Entire home/apt,150,2,1.0,"[""Paid parking on premises"", ""Washer"", ""Heating"", ""Outdoor dining area"", ""HDTV with Chromecast"", ""Wifi"", ""Fire extinguisher"", ""Kitchen""]",1.0,1.0,4.75,2.0,2.0,75.0,4,11,12,12,12
